state,action,reward
[-0.18 -1.37  0.18  2.14],1.0,-1.0
[-0.02 -0.05 -0.04  0.  ],1.0,5.264860690000001
[-0.02  0.15 -0.04 -0.31],1.0,4.7387341
[-0.02  0.34 -0.05 -0.61],1.0,4.154149
[-0.01  0.54 -0.06 -0.92],0.0,3.50461
[-0.    0.34 -0.08 -0.65],1.0,2.7829
[ 0.01  0.54 -0.09 -0.96],1.0,1.981
[ 0.02  0.74 -0.11 -1.28],1.0,1.09
[ 0.03  0.93 -0.14 -1.61],1.0,0.09999999999999998
[ 0.05  1.13 -0.17 -1.94],1.0,-1.0
[-0.04 -0.03  0.03  0.04],0.0,5.738374621000001
[-0.04 -0.23  0.03  0.34],0.0,5.264860690000001
[-0.04 -0.42  0.04  0.64],0.0,4.7387341
[-0.05 -0.62  0.05  0.95],1.0,4.154149
[-0.06 -0.42  0.07  0.67],0.0,3.50461
[-0.07 -0.62  0.09  0.99],0.0,2.7829
[-0.08 -0.82  0.11  1.31],0.0,1.981
[-0.1  -1.01  0.13  1.63],0.0,1.09
[-0.12 -1.21  0.17  1.96],0.0,0.09999999999999998
[-0.14 -1.41  0.2   2.3 ],1.0,-1.0
[ 0.03  0.02  0.01 -0.02],0.0,7.203947588838101
[ 0.03 -0.17  0.01  0.28],1.0,6.893275098709001
[ 0.03  0.02  0.02 -0.01],0.0,6.548083443010001
[ 0.03 -0.17  0.02  0.29],1.0,6.164537158900001
[0.03 0.02 0.02 0.  ],1.0,5.738374621000001
[ 0.03  0.22  0.02 -0.28],1.0,5.264860690000001
[ 0.03  0.41  0.02 -0.57],1.0,4.7387341
[ 0.04  0.61  0.01 -0.86],1.0,4.154149
[ 0.05  0.8  -0.01 -1.15],1.0,3.50461
[ 0.07  1.   -0.03 -1.44],1.0,2.7829
[ 0.09  1.19 -0.06 -1.74],1.0,1.981
[ 0.11  1.39 -0.1  -2.06],1.0,1.09
[ 0.14  1.58 -0.14 -2.38],0.0,0.09999999999999998
[ 0.17  1.39 -0.19 -2.13],0.0,-1.0
[-0.04  0.03 -0.01 -0.05],0.0,7.961677792262976
[-0.04 -0.17 -0.01  0.24],1.0,7.7351975469588625
[-0.04  0.03 -0.   -0.05],0.0,7.4835528299542915
[-0.04 -0.17 -0.    0.24],0.0,7.203947588838101
[-0.04 -0.36  0.    0.53],1.0,6.893275098709001
[-0.05 -0.17  0.01  0.24],0.0,6.548083443010001
[-0.05 -0.36  0.02  0.53],0.0,6.164537158900001
[-0.06 -0.56  0.03  0.83],0.0,5.738374621000001
[-0.07 -0.76  0.04  1.13],1.0,5.264860690000001
[-0.09 -0.56  0.07  0.86],0.0,4.7387341
[-0.1  -0.76  0.08  1.17],1.0,4.154149
[-0.11 -0.56  0.11  0.9 ],1.0,3.50461
[-0.12 -0.37  0.13  0.65],0.0,2.7829
[-0.13 -0.57  0.14  0.98],0.0,1.981
[-0.14 -0.76  0.16  1.31],1.0,1.09
[-0.16 -0.57  0.18  1.07],1.0,0.09999999999999998
[-0.17 -0.38  0.21  0.84],0.0,-1.0
[-0.03  0.   -0.    0.01],1.0,7.203947588838101
[-0.03  0.2  -0.   -0.29],0.0,6.893275098709001
[-0.03  0.   -0.01  0.  ],1.0,6.548083443010001
[-0.03  0.2  -0.01 -0.29],0.0,6.164537158900001
[-0.03  0.   -0.02 -0.  ],0.0,5.738374621000001
[-0.03 -0.19 -0.02  0.28],0.0,5.264860690000001
[-0.03 -0.39 -0.01  0.57],0.0,4.7387341
[-0.04 -0.58  0.    0.86],0.0,4.154149
[-0.05 -0.78  0.02  1.15],0.0,3.50461
[-0.06 -0.97  0.04  1.45],0.0,2.7829
[-0.08 -1.17  0.07  1.76],0.0,1.981
[-0.11 -1.36  0.11  2.07],0.0,1.09
[-0.13 -1.56  0.15  2.4 ],1.0,0.09999999999999998
[-0.17 -1.36  0.2   2.15],0.0,-1.0
[-0.01 -0.01 -0.04  0.02],0.0,6.893275098709001
[-0.01 -0.2  -0.04  0.3 ],0.0,6.548083443010001
[-0.01 -0.4  -0.03  0.58],0.0,6.164537158900001
[-0.02 -0.59 -0.02  0.86],0.0,5.738374621000001
[-0.03 -0.79 -0.01  1.15],1.0,5.264860690000001
[-0.05 -0.59  0.02  0.85],0.0,4.7387341
[-0.06 -0.79  0.03  1.15],0.0,4.154149
[-0.08 -0.98  0.06  1.46],0.0,3.50461
[-0.1  -1.18  0.09  1.77],1.0,2.7829
[-0.12 -0.99  0.12  1.5 ],1.0,1.981
[-0.14 -0.79  0.15  1.25],0.0,1.09
[-0.16 -0.99  0.18  1.59],0.0,0.09999999999999998
[-0.18 -1.19  0.21  1.93],0.0,-1.0
[ 0.    0.03 -0.03  0.  ],1.0,9.819344764049134
[ 0.    0.23 -0.03 -0.3 ],0.0,9.799271960054593
[ 0.01  0.03 -0.03 -0.01],1.0,9.776968844505104
[ 0.01  0.23 -0.03 -0.32],0.0,9.752187605005672
[ 0.01  0.03 -0.04 -0.04],1.0,9.724652894450745
[ 0.01  0.23 -0.04 -0.34],0.0,9.694058771611939
[ 0.02  0.04 -0.05 -0.06],0.0,9.660065301791043
[ 0.02 -0.16 -0.05  0.22],0.0,9.622294779767826
[ 0.01 -0.35 -0.04  0.49],1.0,9.580327533075362
[ 0.01 -0.16 -0.03  0.19],1.0,9.533697258972625
[ 0.    0.04 -0.03 -0.12],0.0,9.481885843302916
[ 0.01 -0.16 -0.03  0.17],1.0,9.424317603669905
[ 0.    0.04 -0.03 -0.14],1.0,9.360352892966562
[ 0.    0.23 -0.03 -0.44],0.0,9.289280992185068
[ 0.01  0.04 -0.04 -0.16],0.0,9.210312213538964
[ 0.01 -0.15 -0.04  0.12],0.0,9.122569126154405
[ 0.01 -0.35 -0.04  0.4 ],0.0,9.025076806838227
[-0.   -0.54 -0.03  0.68],0.0,8.91675200759803
[-0.01 -0.74 -0.02  0.96],1.0,8.796391119553366
[-0.03 -0.54 -0.    0.66],1.0,8.66265679950374
[-0.04 -0.35  0.01  0.37],0.0,8.51406311055971
[-0.05 -0.54  0.02  0.67],1.0,8.348959011733012
[-0.06 -0.35  0.03  0.38],1.0,8.165510013036679
[-0.06 -0.15  0.04  0.1 ],1.0,7.961677792262976
[-0.07  0.04  0.04 -0.18],0.0,7.7351975469588625
[-0.07 -0.15  0.04  0.12],0.0,7.4835528299542915
[-0.07 -0.35  0.04  0.43],0.0,7.203947588838101
[-0.08 -0.55  0.05  0.73],1.0,6.893275098709001
[-0.09 -0.35  0.06  0.46],0.0,6.548083443010001
[-0.09 -0.55  0.07  0.77],0.0,6.164537158900001
[-0.1  -0.74  0.09  1.08],1.0,5.738374621000001
[-0.12 -0.55  0.11  0.82],1.0,5.264860690000001
[-0.13 -0.36  0.13  0.56],1.0,4.7387341
[-0.14 -0.16  0.14  0.31],1.0,4.154149
[-0.14  0.03  0.14  0.07],0.0,3.50461
[-0.14 -0.17  0.15  0.4 ],0.0,2.7829
[-0.14 -0.36  0.15  0.74],0.0,1.981
[-0.15 -0.56  0.17  1.08],1.0,1.09
[-0.16 -0.37  0.19  0.84],1.0,0.09999999999999998
[-0.17 -0.18  0.21  0.61],0.0,-1.0
[0.01 0.02 0.03 0.01],0.0,8.91675200759803
[ 0.01 -0.18  0.03  0.31],1.0,8.796391119553366
[0.   0.02 0.04 0.03],0.0,8.66265679950374
[ 0.   -0.18  0.04  0.33],1.0,8.51406311055971
[-0.    0.02  0.04  0.05],1.0,8.348959011733012
[-0.    0.21  0.04 -0.23],1.0,8.165510013036679
[ 0.    0.4   0.04 -0.51],0.0,7.961677792262976
[ 0.01  0.21  0.03 -0.2 ],1.0,7.7351975469588625
[ 0.02  0.4   0.03 -0.49],0.0,7.4835528299542915
[ 0.02  0.21  0.02 -0.19],0.0,7.203947588838101
[0.03 0.01 0.01 0.11],0.0,6.893275098709001
[ 0.03 -0.18  0.01  0.41],1.0,6.548083443010001
[0.03 0.01 0.02 0.12],1.0,6.164537158900001
[ 0.03  0.21  0.02 -0.17],0.0,5.738374621000001
[0.03 0.01 0.02 0.13],0.0,5.264860690000001
[ 0.03 -0.18  0.02  0.43],0.0,4.7387341
[ 0.03 -0.38  0.03  0.73],0.0,4.154149
[ 0.02 -0.57  0.05  1.04],0.0,3.50461
[ 0.01 -0.77  0.07  1.34],0.0,2.7829
[-0.01 -0.97  0.1   1.66],1.0,1.981
[-0.03 -0.77  0.13  1.4 ],0.0,1.09
[-0.04 -0.97  0.16  1.73],1.0,0.09999999999999998
[-0.06 -0.78  0.19  1.49],0.0,-1.0
[ 0.01  0.03 -0.04  0.01],0.0,9.998580922914016
[ 0.01 -0.17 -0.04  0.29],1.0,9.99842324768224
[ 0.    0.03 -0.03 -0.02],0.0,9.998248052980266
[ 0.   -0.16 -0.03  0.26],0.0,9.998053392200294
[ 0.   -0.36 -0.03  0.55],0.0,9.997837102444771
[-0.01 -0.55 -0.02  0.83],1.0,9.99759678049419
[-0.02 -0.36 -0.    0.53],1.0,9.997329756104655
[-0.03 -0.16  0.01  0.24],0.0,9.997033062338506
[-0.03 -0.36  0.02  0.53],1.0,9.99670340259834
[-0.04 -0.16  0.03  0.25],0.0,9.996337113998155
[-0.04 -0.36  0.03  0.55],0.0,9.995930126664616
[-0.05 -0.55  0.04  0.85],0.0,9.99547791851624
[-0.06 -0.75  0.06  1.16],1.0,9.994975465018044
[-0.07 -0.56  0.08  0.88],1.0,9.99441718335338
[-0.08 -0.36  0.1   0.62],1.0,9.993796870392645
[-0.09 -0.17  0.11  0.36],1.0,9.993107633769606
[-0.09  0.03  0.12  0.1 ],1.0,9.992341815299563
[-0.09  0.22  0.12 -0.15],0.0,9.991490905888403
[-0.09  0.02  0.12  0.18],1.0,9.990545450987113
[-0.09  0.22  0.12 -0.08],1.0,9.989494945541237
[-0.08  0.41  0.12 -0.33],0.0,9.98832771726804
[-0.08  0.21  0.11 -0.  ],1.0,9.98703079696449
[-0.07  0.4   0.11 -0.26],0.0,9.985589774404989
[-0.06  0.21  0.11  0.07],0.0,9.983988638227766
[-0.06  0.01  0.11  0.39],1.0,9.98220959803085
[-0.06  0.21  0.12  0.14],0.0,9.980232886700945
[-0.06  0.01  0.12  0.47],1.0,9.978036540778827
[-0.06  0.2   0.13  0.21],1.0,9.975596156420918
[-0.05  0.4   0.13 -0.04],1.0,9.972884618245464
[-0.04  0.59  0.13 -0.28],1.0,9.969871798050516
[-0.03  0.78  0.13 -0.53],1.0,9.966524220056128
[-0.02  0.97  0.12 -0.78],1.0,9.962804688951252
[ 0.    1.17  0.1  -1.04],1.0,9.958671876612502
[ 0.03  1.36  0.08 -1.3 ],0.0,9.95407986290278
[ 0.05  1.17  0.05 -0.98],1.0,9.948977625447533
[ 0.08  1.36  0.03 -1.25],0.0,9.943308472719481
[ 0.1   1.16  0.01 -0.95],0.0,9.937009414132756
[ 0.13  0.97 -0.01 -0.66],0.0,9.930010460147507
[ 0.15  0.77 -0.02 -0.37],0.0,9.922233844608341
[ 0.16  0.58 -0.03 -0.08],0.0,9.913593160675934
[ 0.17  0.38 -0.03  0.2 ],0.0,9.903992400751036
[ 0.18  0.19 -0.03  0.49],1.0,9.893324889723374
[ 0.19  0.39 -0.02  0.18],0.0,9.881472099692637
[ 0.19  0.19 -0.01  0.47],0.0,9.868302332991819
[ 0.2  -0.   -0.    0.76],1.0,9.8536692588798
[0.2  0.19 0.01 0.47],0.0,9.837410287644222
[ 0.2  -0.    0.02  0.76],0.0,9.819344764049134
[ 0.2  -0.2   0.04  1.06],1.0,9.799271960054593
[ 0.2  -0.01  0.06  0.78],1.0,9.776968844505104
[0.2  0.19 0.07 0.5 ],1.0,9.752187605005672
[0.2  0.38 0.08 0.23],0.0,9.724652894450745
[0.21 0.19 0.09 0.55],1.0,9.694058771611939
[0.21 0.38 0.1  0.29],1.0,9.660065301791043
[0.22 0.57 0.1  0.03],1.0,9.622294779767826
[ 0.23  0.77  0.1  -0.23],0.0,9.580327533075362
[0.25 0.57 0.1  0.09],0.0,9.533697258972625
[0.26 0.37 0.1  0.41],0.0,9.481885843302916
[0.27 0.18 0.11 0.74],1.0,9.424317603669905
[0.27 0.37 0.12 0.48],1.0,9.360352892966562
[0.28 0.56 0.13 0.23],1.0,9.289280992185068
[ 0.29  0.76  0.14 -0.02],1.0,9.210312213538964
[ 0.3   0.95  0.14 -0.26],0.0,9.122569126154405
[0.32 0.75 0.13 0.07],1.0,9.025076806838227
[ 0.34  0.95  0.13 -0.18],1.0,8.91675200759803
[ 0.36  1.14  0.13 -0.43],0.0,8.796391119553366
[ 0.38  0.94  0.12 -0.1 ],1.0,8.66265679950374
[ 0.4   1.14  0.12 -0.35],0.0,8.51406311055971
[ 0.42  0.94  0.11 -0.02],0.0,8.348959011733012
[0.44 0.74 0.11 0.31],1.0,8.165510013036679
[0.45 0.94 0.12 0.05],1.0,7.961677792262976
[ 0.47  1.13  0.12 -0.2 ],0.0,7.7351975469588625
[0.5  0.93 0.12 0.13],1.0,7.4835528299542915
[ 0.51  1.13  0.12 -0.13],0.0,7.203947588838101
[0.54 0.93 0.12 0.2 ],1.0,6.893275098709001
[ 0.56  1.12  0.12 -0.05],1.0,6.548083443010001
[ 0.58  1.32  0.12 -0.31],1.0,6.164537158900001
[ 0.6   1.51  0.11 -0.56],1.0,5.738374621000001
[ 0.63  1.7   0.1  -0.81],1.0,5.264860690000001
[ 0.67  1.9   0.09 -1.07],1.0,4.7387341
[ 0.71  2.09  0.06 -1.34],1.0,4.154149
[ 0.75  2.28  0.04 -1.61],1.0,3.50461
[ 0.79  2.48  0.   -1.89],1.0,2.7829
[ 0.84  2.67 -0.03 -2.18],1.0,1.981
[ 0.9   2.87 -0.08 -2.48],0.0,1.09
[ 0.95  2.68 -0.13 -2.22],0.0,0.09999999999999998
[ 1.01  2.48 -0.17 -1.96],0.0,-1.0
[-0.01  0.   -0.04 -0.04],1.0,5.738374621000001
[-0.01  0.2  -0.04 -0.35],1.0,5.264860690000001
[-0.01  0.4  -0.04 -0.65],0.0,4.7387341
[-0.    0.2  -0.06 -0.37],1.0,4.154149
[ 0.    0.4  -0.06 -0.68],1.0,3.50461
[ 0.01  0.59 -0.08 -0.99],1.0,2.7829
[ 0.02  0.79 -0.1  -1.31],1.0,1.981
[ 0.04  0.98 -0.12 -1.63],0.0,1.09
[ 0.06  0.79 -0.16 -1.38],1.0,0.09999999999999998
[ 0.07  0.99 -0.18 -1.72],0.0,-1.0
[0.04 0.04 0.   0.02],1.0,7.4835528299542915
[ 0.04  0.24  0.   -0.27],0.0,7.203947588838101
[ 0.05  0.04 -0.    0.03],1.0,6.893275098709001
[ 0.05  0.24  0.   -0.27],1.0,6.548083443010001
[ 0.05  0.44 -0.01 -0.56],0.0,6.164537158900001
[ 0.06  0.24 -0.02 -0.27],1.0,5.738374621000001
[ 0.07  0.44 -0.02 -0.56],1.0,5.264860690000001
[ 0.08  0.63 -0.03 -0.86],1.0,4.7387341
[ 0.09  0.83 -0.05 -1.17],0.0,4.154149
[ 0.11  0.63 -0.07 -0.89],0.0,3.50461
[ 0.12  0.44 -0.09 -0.62],1.0,2.7829
[ 0.13  0.63 -0.1  -0.94],1.0,1.981
[ 0.14  0.83 -0.12 -1.27],1.0,1.09
[ 0.16  1.03 -0.15 -1.59],1.0,0.09999999999999998
[ 0.18  1.22 -0.18 -1.93],1.0,-1.0
[ 0.    0.04 -0.02  0.01],0.0,8.796391119553366
[ 0.   -0.15 -0.02  0.3 ],0.0,8.66265679950374
[ 0.   -0.34 -0.02  0.58],0.0,8.51406311055971
[-0.01 -0.54 -0.01  0.87],1.0,8.348959011733012
[-0.02 -0.34  0.01  0.57],1.0,8.165510013036679
[-0.02 -0.15  0.02  0.28],0.0,7.961677792262976
[-0.03 -0.34  0.03  0.58],1.0,7.7351975469588625
[-0.03 -0.15  0.04  0.3 ],1.0,7.4835528299542915
[-0.04  0.04  0.05  0.02],1.0,7.203947588838101
[-0.04  0.24  0.05 -0.26],1.0,6.893275098709001
[-0.03  0.43  0.04 -0.54],0.0,6.548083443010001
[-0.02  0.24  0.03 -0.23],1.0,6.164537158900001
[-0.02  0.43  0.03 -0.51],0.0,5.738374621000001
[-0.01  0.24  0.02 -0.21],1.0,5.264860690000001
[-0.    0.43  0.01 -0.5 ],1.0,4.7387341
[ 0.    0.63  0.   -0.79],1.0,4.154149
[ 0.02  0.82 -0.01 -1.08],1.0,3.50461
[ 0.03  1.02 -0.04 -1.38],1.0,2.7829
[ 0.05  1.21 -0.06 -1.68],1.0,1.981
[ 0.08  1.41 -0.1  -1.99],1.0,1.09
[ 0.11  1.6  -0.14 -2.32],0.0,0.09999999999999998
[ 0.14  1.41 -0.18 -2.07],0.0,-1.0
[ 0.02 -0.04 -0.05  0.  ],0.0,9.122569126154405
[ 0.02 -0.23 -0.05  0.28],0.0,9.025076806838227
[ 0.02 -0.43 -0.04  0.56],1.0,8.91675200759803
[ 0.01 -0.23 -0.03  0.25],1.0,8.796391119553366
[ 0.01 -0.04 -0.03 -0.05],0.0,8.66265679950374
[ 0.01 -0.23 -0.03  0.23],1.0,8.51406311055971
[ 0.   -0.04 -0.02 -0.07],0.0,8.348959011733012
[ 0.   -0.23 -0.02  0.22],0.0,8.165510013036679
[-0.   -0.43 -0.02  0.5 ],1.0,7.961677792262976
[-0.01 -0.23 -0.01  0.2 ],0.0,7.7351975469588625
[-0.02 -0.42 -0.01  0.49],1.0,7.4835528299542915
[-0.03 -0.23  0.    0.2 ],1.0,7.203947588838101
[-0.03 -0.03  0.01 -0.09],0.0,6.893275098709001
[-0.03 -0.23  0.01  0.2 ],0.0,6.548083443010001
[-0.04 -0.43  0.01  0.5 ],0.0,6.164537158900001
[-0.04 -0.62  0.02  0.79],0.0,5.738374621000001
[-0.06 -0.82  0.04  1.09],1.0,5.264860690000001
[-0.07 -0.62  0.06  0.81],1.0,4.7387341
[-0.09 -0.43  0.07  0.54],0.0,4.154149
[-0.09 -0.62  0.09  0.85],0.0,3.50461
[-0.11 -0.82  0.1   1.17],0.0,2.7829
[-0.12 -1.02  0.13  1.49],1.0,1.981
[-0.14 -0.82  0.16  1.24],1.0,1.09
[-0.16 -0.63  0.18  1.  ],0.0,0.09999999999999998
[-0.17 -0.83  0.2   1.35],1.0,-1.0
[ 0.05  0.04 -0.02  0.04],1.0,9.8536692588798
[ 0.05  0.24 -0.02 -0.26],0.0,9.837410287644222
[ 0.05  0.04 -0.02  0.03],0.0,9.819344764049134
[ 0.06 -0.15 -0.02  0.32],0.0,9.799271960054593
[ 0.05 -0.34 -0.02  0.6 ],0.0,9.776968844505104
[ 0.05 -0.54 -0.    0.89],0.0,9.752187605005672
[ 0.03 -0.73  0.01  1.18],1.0,9.724652894450745
[ 0.02 -0.54  0.04  0.89],1.0,9.694058771611939
[ 0.01 -0.35  0.05  0.61],1.0,9.660065301791043
[ 0.   -0.15  0.07  0.34],1.0,9.622294779767826
[-0.    0.04  0.07  0.07],0.0,9.580327533075362
[ 0.   -0.15  0.08  0.38],1.0,9.533697258972625
[-0.    0.04  0.08  0.11],0.0,9.481885843302916
[-0.   -0.16  0.09  0.43],0.0,9.424317603669905
[-0.01 -0.35  0.09  0.75],1.0,9.360352892966562
[-0.01 -0.16  0.11  0.49],1.0,9.289280992185068
[-0.02  0.04  0.12  0.23],1.0,9.210312213538964
[-0.01  0.23  0.12 -0.02],1.0,9.122569126154405
[-0.01  0.42  0.12 -0.27],0.0,9.025076806838227
[-0.    0.23  0.12  0.05],0.0,8.91675200759803
[0.   0.03 0.12 0.38],1.0,8.796391119553366
[0.   0.22 0.13 0.13],0.0,8.66265679950374
[0.01 0.03 0.13 0.46],1.0,8.51406311055971
[0.01 0.22 0.14 0.21],1.0,8.348959011733012
[ 0.01  0.41  0.14 -0.04],1.0,8.165510013036679
[ 0.02  0.6   0.14 -0.28],1.0,7.961677792262976
[ 0.03  0.8   0.14 -0.53],0.0,7.7351975469588625
[ 0.05  0.6   0.12 -0.2 ],1.0,7.4835528299542915
[ 0.06  0.79  0.12 -0.45],0.0,7.203947588838101
[ 0.08  0.6   0.11 -0.12],0.0,6.893275098709001
[0.09 0.4  0.11 0.21],1.0,6.548083443010001
[ 0.1   0.59  0.11 -0.05],0.0,6.164537158900001
[0.11 0.4  0.11 0.28],1.0,5.738374621000001
[0.12 0.59 0.12 0.02],0.0,5.264860690000001
[0.13 0.39 0.12 0.35],0.0,4.7387341
[0.14 0.2  0.13 0.68],1.0,4.154149
[0.14 0.39 0.14 0.43],1.0,3.50461
[0.15 0.58 0.15 0.18],0.0,2.7829
[0.16 0.39 0.15 0.52],0.0,1.981
[0.17 0.19 0.16 0.85],1.0,1.09
[0.17 0.38 0.18 0.61],0.0,0.09999999999999998
[0.18 0.19 0.19 0.96],1.0,-1.0
[ 0.02 -0.05  0.04  0.03],1.0,8.165510013036679
[ 0.01  0.14  0.04 -0.25],1.0,7.961677792262976
[ 0.02  0.34  0.03 -0.53],0.0,7.7351975469588625
[ 0.02  0.14  0.02 -0.23],0.0,7.4835528299542915
[ 0.03 -0.05  0.02  0.07],1.0,7.203947588838101
[ 0.03  0.14  0.02 -0.22],0.0,6.893275098709001
[ 0.03 -0.05  0.01  0.08],1.0,6.548083443010001
[ 0.03  0.14  0.01 -0.21],1.0,6.164537158900001
[ 0.03  0.34  0.01 -0.5 ],1.0,5.738374621000001
[ 0.04  0.53  0.   -0.79],1.0,5.264860690000001
[ 0.05  0.73 -0.02 -1.08],1.0,4.7387341
[ 0.06  0.92 -0.04 -1.38],0.0,4.154149
[ 0.08  0.73 -0.06 -1.1 ],0.0,3.50461
[ 0.1   0.53 -0.09 -0.82],1.0,2.7829
[ 0.11  0.73 -0.1  -1.14],1.0,1.981
[ 0.12  0.93 -0.13 -1.46],1.0,1.09
[ 0.14  1.12 -0.16 -1.79],0.0,0.09999999999999998
[ 0.16  0.93 -0.19 -1.55],0.0,-1.0
[-0.05  0.04  0.04 -0.02],1.0,9.580327533075362
[-0.05  0.24  0.04 -0.3 ],0.0,9.533697258972625
[-0.04  0.04  0.03  0.  ],0.0,9.481885843302916
[-0.04 -0.16  0.03  0.31],1.0,9.424317603669905
[-0.05  0.04  0.04  0.02],0.0,9.360352892966562
[-0.05 -0.16  0.04  0.33],1.0,9.289280992185068
[-0.05  0.04  0.05  0.05],1.0,9.210312213538964
[-0.05  0.23  0.05 -0.23],0.0,9.122569126154405
[-0.04  0.04  0.04  0.08],0.0,9.025076806838227
[-0.04 -0.16  0.04  0.38],1.0,8.91675200759803
[-0.05  0.04  0.05  0.1 ],1.0,8.796391119553366
[-0.05  0.23  0.05 -0.17],1.0,8.66265679950374
[-0.04  0.42  0.05 -0.45],1.0,8.51406311055971
[-0.03  0.62  0.04 -0.72],0.0,8.348959011733012
[-0.02  0.42  0.03 -0.42],0.0,8.165510013036679
[-0.01  0.23  0.02 -0.12],0.0,7.961677792262976
[-0.01  0.03  0.02  0.18],0.0,7.7351975469588625
[-0.01 -0.16  0.02  0.48],1.0,7.4835528299542915
[-0.01  0.03  0.03  0.19],1.0,7.203947588838101
[-0.01  0.23  0.03 -0.09],0.0,6.893275098709001
[-0.    0.03  0.03  0.21],1.0,6.548083443010001
