0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,z
0,16,2,3,4,27,17,22,15,23,8,25,12,20,5,21,29,11,24,19,31,13,28,7,30,1,9,26,18,10,14,0,27901
0,28,23,30,14,25,6,12,11,24,13,31,9,5,26,17,2,3,18,20,19,16,10,1,21,27,22,7,15,29,8,0,31817
0,11,18,25,9,4,31,3,8,21,7,12,17,13,20,5,15,29,10,27,28,6,16,26,19,24,23,2,30,14,1,0,33914
0,24,31,30,25,19,11,26,5,16,22,18,27,10,13,3,21,2,17,6,8,7,14,1,29,23,28,12,4,20,9,0,30031
0,27,8,19,2,23,3,6,18,25,9,5,16,29,31,4,28,22,24,12,11,14,26,20,30,7,15,21,17,1,13,0,33264
0,6,8,11,31,17,26,1,18,15,13,14,25,30,2,22,16,28,5,4,3,19,29,21,10,12,9,7,20,27,24,0,29997
0,5,29,17,6,19,20,16,27,22,25,4,3,11,7,2,28,1,31,9,10,24,8,12,26,23,18,21,13,30,14,0,31207
0,31,21,27,25,23,2,15,8,24,3,6,26,7,20,12,11,28,17,13,4,18,5,30,16,19,10,29,22,9,1,0,31076
0,20,12,2,26,25,7,15,13,18,14,4,11,16,31,3,29,23,27,19,1,24,9,8,21,17,28,10,6,5,30,0,35036
0,25,30,8,9,16,19,22,5,23,26,2,1,15,28,14,3,6,21,13,12,20,7,31,10,11,17,29,24,27,4,0,28699
0,27,6,8,20,18,14,11,19,4,21,29,26,5,2,23,13,17,28,15,31,25,10,1,24,3,9,22,16,30,12,0,26797
0,5,13,25,19,8,1,4,20,15,31,29,23,10,14,24,21,2,11,30,28,16,12,3,6,17,27,7,26,9,18,0,29676
0,11,18,13,27,12,5,10,1,23,25,9,14,7,3,19,21,4,8,30,6,24,2,22,28,17,26,15,16,29,20,0,32542
0,3,11,2,29,7,5,6,20,31,26,19,17,23,21,13,30,4,28,27,10,16,25,24,8,1,18,22,15,12,14,0,29934
0,14,25,22,28,7,31,21,27,18,4,15,24,3,30,17,10,2,6,26,12,9,5,20,19,1,16,11,29,23,13,0,36818
0,21,6,7,28,3,2,1,8,13,5,11,27,31,30,15,16,24,18,14,20,29,17,22,26,9,10,23,4,25,12,0,30868
0,9,6,8,21,20,16,3,30,23,29,4,12,19,15,14,13,2,22,17,27,11,7,25,5,26,1,24,31,10,18,0,30242
0,31,21,17,4,18,9,3,11,12,1,22,13,8,24,14,25,7,30,15,23,26,29,5,20,10,27,19,2,16,28,0,33778
0,5,9,15,20,10,22,11,17,4,12,26,1,28,14,21,24,2,3,25,7,16,30,13,31,6,8,18,19,29,27,0,29304
0,26,19,6,2,11,17,23,24,21,27,10,25,31,18,30,3,7,1,28,29,14,15,5,16,8,12,20,13,22,9,0,35581
0,17,30,4,18,6,20,25,2,31,11,7,12,16,14,5,22,28,29,13,19,8,26,10,3,21,1,9,27,23,15,0,35480
0,31,4,22,10,14,27,11,26,15,5,20,30,7,3,9,23,19,28,24,12,17,25,1,29,2,8,13,16,6,18,0,33416
0,5,2,28,15,7,12,9,21,16,19,26,25,4,3,14,23,11,29,20,6,24,22,8,1,13,27,30,18,17,10,0,29253
0,14,4,9,19,15,20,30,12,1,16,10,18,25,31,27,17,13,24,28,29,11,6,22,5,8,26,7,3,2,23,0,32477
0,13,8,28,20,10,26,4,23,14,30,29,1,19,25,11,9,31,3,18,16,17,15,27,6,7,2,21,24,22,5,0,31310
0,25,11,26,13,14,29,6,15,20,4,31,19,17,12,24,18,16,9,2,21,22,27,23,8,3,7,10,5,1,30,0,32379
0,11,25,19,16,8,27,7,30,13,5,1,6,2,12,3,10,28,26,29,14,4,18,24,17,9,21,23,15,31,20,0,29793
0,29,16,3,4,10,13,22,30,24,27,28,11,12,2,25,15,7,5,26,23,8,21,1,6,18,17,14,31,19,20,0,34253
0,9,29,20,19,17,10,11,21,15,12,1,25,30,16,2,24,4,26,14,27,7,8,28,13,18,6,22,3,31,23,0,30295
0,3,20,8,19,6,29,23,7,2,13,21,22,17,12,4,9,24,11,26,16,14,1,5,15,30,31,25,18,27,28,0,29451
0,17,9,1,29,15,11,23,12,21,18,25,14,7,28,16,6,22,20,8,3,5,4,19,13,10,2,30,31,27,26,0,31093
0,14,13,11,28,7,16,24,25,27,2,9,18,19,10,29,3,8,20,26,15,23,21,1,4,6,17,12,22,31,30,0,30804
0,9,28,29,20,5,23,17,6,15,25,12,22,21,24,18,16,27,31,10,2,3,4,19,30,8,1,13,14,11,7,0,35601
0,23,11,19,22,27,4,6,24,7,31,1,21,17,10,25,26,18,16,30,3,2,8,20,28,9,12,13,5,15,14,0,34937
0,25,10,15,8,12,6,29,7,24,2,31,17,22,27,21,18,26,5,9,20,14,3,30,13,28,1,19,23,4,11,0,33079
0,28,6,25,24,14,11,9,22,26,18,12,17,2,19,23,8,20,4,1,13,30,27,16,5,7,10,3,21,31,15,0,28428
0,20,15,18,2,5,22,21,12,16,29,11,4,13,8,27,14,19,1,28,25,24,6,31,10,9,23,7,30,17,3,0,34923
0,27,1,21,3,20,24,14,5,19,29,16,9,17,7,10,6,22,8,31,11,12,23,25,15,28,13,18,2,26,4,0,28870
0,27,9,8,3,10,6,28,19,24,15,26,12,20,17,18,16,7,13,14,23,25,31,22,30,29,4,11,2,5,21,0,35854
0,15,11,10,18,27,9,20,26,12,7,3,29,14,16,2,19,17,22,6,1,31,28,23,5,24,30,21,13,8,25,0,31851
0,15,29,10,23,21,20,22,17,24,31,2,4,28,1,18,12,3,5,8,11,6,7,13,9,26,16,27,25,30,14,0,35656
0,25,8,20,6,10,3,31,7,12,15,29,17,28,13,9,23,2,30,1,22,18,16,14,11,27,5,26,21,19,4,0,31949
0,10,5,8,27,24,29,20,11,13,21,3,16,4,15,18,26,19,2,22,9,1,23,31,6,14,12,30,28,25,7,0,29485
0,26,15,13,25,14,6,12,4,30,29,18,22,1,20,9,23,3,21,27,31,10,16,28,19,17,2,5,8,7,24,0,35084
0,24,20,9,29,18,11,5,22,26,14,27,15,17,8,1,21,30,7,10,3,31,6,16,23,13,2,25,12,4,19,0,33416
0,28,14,19,23,20,11,2,1,18,21,15,10,5,24,31,29,13,3,9,7,22,25,6,16,4,17,12,30,8,27,0,33555
0,19,16,2,17,30,1,5,6,9,26,23,28,13,24,25,11,10,29,4,12,31,7,27,3,14,8,22,21,18,15,0,29566
0,15,1,19,22,6,21,20,11,18,3,28,7,9,5,2,24,14,17,10,27,29,25,23,4,26,13,8,16,12,31,0,32868
0,6,30,19,8,26,11,25,18,2,29,10,13,22,7,17,5,9,14,24,31,27,12,28,3,20,4,1,21,15,16,0,33849
0,25,1,12,11,17,18,21,31,16,13,30,7,27,4,28,6,2,24,29,14,20,15,3,10,8,19,23,22,9,26,0,31978
0,2,24,29,25,27,13,8,15,4,1,10,7,5,6,26,3,22,19,9,28,17,30,21,18,20,31,12,14,11,16,0,29283
0,15,4,2,5,9,24,20,21,10,16,14,26,17,7,13,19,12,1,22,18,29,8,25,11,3,27,28,30,31,23,0,33230
0,3,7,16,14,5,26,30,11,20,4,22,21,15,6,27,9,23,19,29,25,1,2,10,8,12,31,13,18,28,24,0,29194
0,19,6,20,13,9,8,18,25,21,30,16,24,15,22,1,31,11,4,3,23,10,14,5,26,28,7,12,2,29,17,0,35865
0,29,27,20,1,19,21,16,18,24,17,13,9,23,2,11,31,4,12,26,30,6,3,14,8,25,15,7,10,22,28,0,36213
0,25,24,4,23,20,8,27,18,28,31,26,11,9,6,16,12,30,1,17,14,7,5,21,13,29,22,15,3,19,10,0,29157
0,29,15,18,21,17,31,2,8,20,4,30,14,25,10,3,1,24,22,16,11,26,27,13,28,5,7,23,19,9,6,0,29879
0,9,6,23,27,19,28,30,10,20,13,15,25,26,16,3,12,31,21,18,5,1,17,22,4,2,29,8,7,11,24,0,28516
0,31,16,29,6,3,24,11,10,23,5,21,22,2,17,12,28,8,9,19,26,30,18,25,14,20,7,1,27,4,15,0,31964
0,16,1,7,15,26,28,31,24,14,30,8,29,19,21,12,25,23,11,18,22,20,6,9,3,4,2,10,13,17,5,0,31756
0,24,30,20,7,9,8,27,31,1,2,16,14,25,21,22,5,28,3,15,12,17,6,26,23,13,19,10,4,18,11,0,36181
0,19,26,7,25,24,2,31,21,3,17,27,1,15,12,11,8,4,6,30,20,14,28,13,18,29,10,5,9,22,23,0,29427
0,18,1,22,26,14,31,9,11,6,7,12,13,8,23,27,21,20,24,19,2,16,5,28,29,4,17,30,15,10,25,0,28807
0,10,7,6,30,20,15,22,4,5,27,8,11,29,2,9,23,1,14,25,16,24,12,21,17,18,28,31,3,13,19,0,35255
0,26,7,28,4,3,15,29,17,9,13,18,14,25,23,1,19,27,6,10,20,16,21,5,30,22,31,11,12,2,8,0,37906
0,26,21,14,28,15,6,18,19,1,31,29,30,25,3,27,4,24,20,8,7,22,11,9,12,2,10,16,23,13,17,0,31170
0,4,30,27,15,21,19,13,24,12,1,18,23,11,5,10,3,2,28,20,22,25,6,7,9,8,29,26,17,16,14,0,33813
0,18,30,6,22,31,29,16,28,24,7,3,9,1,8,15,12,14,20,2,10,5,23,19,26,4,11,13,21,25,27,0,31757
0,3,1,29,2,7,28,22,12,4,25,10,15,6,13,9,17,31,19,18,8,20,26,23,5,21,27,16,14,24,11,0,34464
0,20,17,9,19,18,22,26,31,25,24,10,8,7,27,12,11,2,14,6,4,1,23,5,3,28,13,30,21,15,29,0,29278
0,6,19,26,12,10,27,31,24,15,2,3,23,21,4,1,14,9,18,13,22,11,30,5,25,29,28,8,20,16,7,0,33667
0,22,28,15,2,10,5,31,13,6,26,21,11,16,14,1,29,7,20,12,25,23,4,3,8,18,19,24,27,17,30,0,30384
0,9,30,13,17,5,2,6,7,12,1,29,8,22,19,31,4,14,26,24,21,10,27,20,18,28,25,16,15,11,23,0,32553
0,11,31,4,26,12,13,15,28,1,19,30,27,18,7,22,25,21,20,2,6,10,17,23,16,3,14,8,29,24,5,0,26857
0,25,16,27,9,19,3,13,8,7,4,5,23,10,15,1,11,2,22,29,12,28,26,21,14,24,18,20,31,30,17,0,30108
0,21,7,23,6,29,26,20,10,11,28,30,12,17,24,3,27,8,9,31,19,25,14,4,22,2,13,1,5,15,16,0,32264
0,5,6,29,17,22,1,4,31,2,15,16,26,14,13,12,23,25,9,11,3,30,21,20,18,7,24,10,8,27,19,0,30109
0,30,5,28,23,29,4,26,10,21,25,18,27,16,7,20,22,11,2,31,1,13,17,6,15,24,19,12,8,9,14,0,37653
0,21,26,2,3,14,15,23,9,1,25,5,24,6,11,22,7,29,13,31,16,17,18,8,10,19,20,30,27,28,12,0,30454
0,24,30,27,17,13,20,16,4,14,2,26,23,19,3,11,22,10,6,21,31,29,7,8,12,9,5,28,25,18,15,0,34434
0,16,8,5,12,29,30,4,6,11,17,24,14,23,7,19,2,13,26,20,18,9,1,10,25,3,28,27,31,22,21,0,30099
0,24,12,2,18,30,17,23,11,5,25,7,1,10,28,27,9,31,26,14,21,15,20,19,6,29,16,13,4,8,3,0,34658
0,31,19,7,8,5,22,4,24,20,29,15,14,21,13,28,25,3,9,18,1,11,2,16,6,17,30,12,23,26,27,0,28870
0,7,4,18,15,28,25,20,13,11,24,29,21,19,10,6,5,23,22,12,30,26,9,1,16,3,8,17,2,27,14,0,26728
0,2,16,24,14,19,3,25,22,11,5,15,12,21,28,9,31,26,8,30,6,17,10,4,20,18,23,13,27,7,1,0,33760
0,7,27,30,25,26,24,17,21,9,4,20,11,8,22,15,31,5,6,1,3,2,10,23,29,16,19,12,13,18,28,0,30105
0,26,16,6,1,19,12,20,17,18,3,25,11,15,4,27,13,8,30,29,5,21,23,31,14,2,28,9,22,10,7,0,33427
0,30,29,4,23,22,27,19,2,9,15,25,20,16,6,28,1,12,21,31,10,17,24,7,18,5,14,26,8,11,3,0,32241
0,10,30,7,6,18,28,20,3,26,31,4,1,8,19,23,12,9,17,13,15,22,2,25,16,29,5,14,11,27,21,0,32109
0,25,20,18,11,28,24,19,5,31,7,30,21,12,13,16,26,14,8,2,27,9,6,15,3,29,10,4,1,23,17,0,36066
0,23,25,22,2,30,28,10,15,17,16,31,18,1,13,26,12,24,27,7,5,3,14,4,19,6,8,21,11,20,9,0,34818
0,24,1,5,15,23,17,16,8,27,29,30,19,12,25,21,10,31,9,20,2,7,11,26,3,28,22,18,6,14,4,0,34589
0,11,13,2,7,9,10,31,14,26,25,16,22,18,15,6,12,20,29,30,3,17,8,5,19,24,4,1,21,23,28,0,34369
0,10,16,21,19,20,2,5,1,7,17,28,8,11,31,22,23,3,30,4,24,27,25,6,26,18,12,14,15,13,29,0,30999
0,2,4,25,20,28,13,7,1,23,19,24,5,10,22,15,3,14,8,17,11,27,9,16,21,31,26,6,12,30,29,0,30892
0,13,24,5,12,3,4,16,18,28,14,25,31,9,2,11,8,10,6,26,27,15,29,17,23,30,21,1,19,7,22,0,35383
0,31,25,21,3,18,19,17,27,30,6,8,15,23,22,24,14,2,4,1,5,7,20,12,16,29,26,11,9,10,13,0,32609
0,24,16,23,17,15,29,12,14,7,28,9,10,31,4,30,26,22,13,18,19,20,3,2,25,8,11,1,27,6,5,0,32974
0,22,26,2,13,7,14,20,4,16,30,10,8,1,28,3,31,6,18,25,27,11,5,17,21,9,12,29,15,23,24,0,36196
0,16,25,26,12,13,31,15,10,24,30,1,22,27,20,18,5,4,9,28,23,2,11,3,7,21,6,8,17,14,19,0,27066
0,4,1,11,21,26,9,23,22,18,7,29,8,16,5,10,12,14,15,2,24,27,25,3,6,31,30,17,20,28,19,0,26468
0,18,26,5,2,31,1,19,6,13,25,15,14,11,16,28,4,7,3,21,8,20,23,29,24,10,17,12,27,30,9,0,32685
0,8,21,28,20,15,1,3,10,12,26,17,6,4,5,24,30,16,11,18,7,14,25,13,19,23,27,9,22,29,2,0,33584
0,6,4,26,10,28,21,17,9,23,2,25,5,24,27,22,16,1,19,8,3,29,31,15,18,14,7,30,12,13,11,0,28517
0,21,28,11,26,24,15,5,25,29,16,6,3,2,13,10,31,9,17,14,20,1,22,30,19,18,27,7,12,8,4,0,34290
0,4,16,20,24,12,29,28,13,23,2,15,25,5,1,11,17,6,8,30,31,19,27,3,14,9,22,7,18,26,21,0,32003
0,1,9,8,15,22,16,28,23,25,11,27,29,12,21,18,20,10,6,3,24,26,30,14,13,4,2,19,7,31,5,0,30506
0,1,3,26,2,12,6,8,17,28,5,27,4,15,14,20,30,23,25,13,31,18,7,22,19,16,29,24,11,10,21,0,32190
0,27,11,19,5,16,7,15,6,28,2,8,20,24,9,25,30,23,22,14,13,31,18,10,3,17,12,26,4,1,29,0,31195
0,10,21,16,28,19,18,31,13,26,8,11,7,14,9,15,27,3,17,24,22,20,4,1,5,30,12,25,29,23,6,0,33380
0,30,6,20,21,10,8,23,26,29,25,4,12,27,19,7,3,13,2,11,9,15,17,22,18,1,31,14,16,24,28,0,36827
0,4,9,2,30,5,11,25,1,20,14,10,7,13,18,19,26,29,24,22,6,12,17,31,21,15,27,8,3,23,28,0,32697
0,16,20,29,21,27,8,2,1,30,15,17,28,7,11,5,3,4,25,18,23,19,31,10,22,14,13,9,26,6,24,0,29904
0,4,20,28,25,21,10,6,5,26,18,8,3,24,17,15,9,30,29,1,2,12,11,14,7,27,23,22,19,13,31,0,32623
0,27,3,12,11,17,5,10,18,2,15,20,23,9,26,25,16,24,30,4,7,19,8,21,28,29,14,6,22,13,31,0,30116
0,28,16,30,22,21,11,14,29,2,1,17,24,15,31,9,23,18,12,20,7,5,19,25,6,13,4,3,10,27,26,0,33653
0,24,28,1,7,10,9,30,21,17,8,16,19,11,25,6,18,23,26,4,27,5,14,22,31,3,29,2,13,20,12,0,33822
0,1,13,30,10,22,4,23,18,5,6,3,9,15,31,21,28,7,12,8,17,26,11,16,19,2,29,27,20,24,25,0,26380
0,30,7,6,14,11,22,8,25,20,23,28,13,15,24,9,3,17,18,1,26,5,27,2,29,4,16,21,10,31,12,0,30489
0,11,9,28,22,3,26,1,17,12,20,5,27,21,14,24,16,25,15,13,23,31,10,8,18,4,2,19,30,7,6,0,31172
0,24,31,11,14,8,29,10,21,18,2,9,17,22,3,12,19,23,7,16,26,15,28,30,20,25,4,27,6,5,1,0,28261
0,18,27,29,12,30,19,28,4,9,8,22,31,23,10,15,26,21,11,6,14,16,2,24,25,7,20,17,13,1,5,0,33471
0,1,28,8,13,25,26,22,11,2,27,15,17,9,16,12,20,21,14,7,18,4,30,31,19,29,5,10,6,24,23,0,33223
0,22,11,19,20,23,15,4,13,14,9,10,30,1,21,5,17,6,29,7,31,25,2,18,27,28,26,12,24,8,16,0,36582
0,28,29,1,13,27,24,10,8,2,9,23,12,21,18,20,11,17,15,30,6,22,5,3,16,7,31,25,26,14,19,0,29470
0,20,16,28,19,17,13,18,3,10,15,11,24,8,23,9,14,7,4,6,12,21,26,31,22,27,2,25,5,1,30,0,37192
0,4,9,14,28,23,16,25,22,3,6,13,19,31,5,17,15,1,21,18,11,10,20,2,7,26,8,29,27,30,12,0,34309
0,25,29,7,5,31,23,15,18,21,16,3,19,22,27,17,13,26,24,9,2,10,30,12,4,6,28,14,8,1,20,0,30878
0,5,31,7,2,26,15,16,11,1,30,13,17,12,29,4,22,18,6,27,21,28,10,14,19,8,9,23,20,24,25,0,30396
0,3,23,22,26,13,19,31,16,20,30,1,21,11,28,27,14,4,12,18,29,25,17,2,8,15,7,10,5,24,6,0,35925
0,1,21,22,20,14,30,3,27,6,23,15,19,4,10,9,18,8,2,13,11,17,26,31,5,29,25,16,24,28,7,0,33835
0,7,20,4,11,19,13,8,22,21,2,3,6,23,30,1,12,25,28,16,31,18,15,5,27,26,24,10,9,29,14,0,36125
0,30,25,8,21,10,6,31,7,29,5,14,2,26,3,4,1,23,19,9,18,22,16,15,28,24,27,17,12,20,13,0,33900
0,6,3,10,7,23,26,8,5,15,28,1,18,16,25,17,12,9,27,21,19,14,2,20,24,11,13,29,31,4,30,0,31355
0,21,2,22,13,15,14,4,6,24,20,8,25,3,26,28,16,10,11,23,19,5,27,7,18,1,29,12,9,17,30,0,29231
0,22,31,3,20,29,10,6,7,14,26,5,16,4,18,21,24,11,2,1,17,8,25,9,27,15,12,28,30,13,23,0,27158
0,15,17,24,27,18,11,21,9,4,28,3,23,10,25,2,26,20,1,16,7,19,6,31,5,29,14,8,12,30,22,0,32459
0,20,27,16,14,18,30,8,1,11,22,24,5,26,9,25,29,7,6,15,28,31,23,2,19,17,4,10,21,3,13,0,30428
0,14,11,9,1,10,21,12,5,4,26,24,20,30,13,7,17,3,25,31,16,6,2,29,27,28,22,18,15,23,8,0,31692
0,24,7,26,3,14,17,9,8,23,4,2,28,22,12,20,13,16,25,5,6,30,27,11,29,21,1,15,31,18,10,0,31887
0,12,3,4,26,21,15,16,31,9,2,11,5,28,8,27,17,19,1,22,24,18,10,29,23,13,30,25,7,14,6,0,35178
0,20,6,14,25,4,18,22,11,26,7,3,31,13,10,15,23,19,17,21,8,29,27,30,1,9,2,5,16,24,28,0,30932
0,1,13,3,17,7,10,20,11,23,2,8,15,19,16,6,18,25,14,12,4,9,21,28,24,31,30,26,5,22,29,0,32591
0,9,16,6,11,4,23,30,17,2,19,22,13,12,31,1,21,14,18,5,15,25,7,26,28,20,10,24,8,29,27,0,31688
0,12,18,25,15,24,6,26,23,20,16,31,11,1,8,2,22,21,28,13,29,3,9,4,7,17,30,14,5,10,27,0,31315
0,22,1,29,8,31,10,4,13,9,6,27,21,28,12,20,25,23,30,3,18,16,14,7,2,24,17,5,11,19,26,0,32063
0,17,12,20,14,16,9,23,8,4,7,1,19,10,26,13,18,11,31,5,22,30,21,25,24,28,2,6,3,15,29,0,34604
0,12,16,5,4,1,28,6,9,8,11,18,23,3,24,7,14,30,15,26,2,29,25,10,27,21,19,20,17,31,22,0,31402
0,16,2,14,24,21,15,28,7,12,10,22,8,5,9,30,3,26,25,11,18,13,31,27,19,29,4,20,6,17,1,0,29724
0,12,1,14,19,17,31,10,15,11,21,13,2,3,20,9,28,5,23,16,29,24,30,26,18,4,22,25,7,27,8,0,36874
0,2,8,17,30,21,23,29,5,13,27,31,14,3,19,9,15,16,25,10,24,4,12,26,18,11,22,28,6,1,20,0,33684
0,7,20,22,2,23,24,19,1,18,13,4,29,17,31,12,6,28,11,8,27,9,10,26,25,15,21,3,14,5,30,0,32305
0,20,8,12,23,29,9,13,18,28,19,2,15,17,26,14,3,24,16,25,4,1,6,30,22,11,31,7,5,21,27,0,36304
0,29,7,15,31,14,13,17,19,1,25,26,2,12,18,10,4,23,5,3,30,8,22,20,11,28,21,16,9,24,27,0,28771
0,17,28,5,4,24,10,19,16,8,22,11,7,1,13,15,6,29,25,20,27,31,12,9,18,3,2,23,21,14,26,0,28039
0,27,29,10,11,17,1,20,30,5,31,19,22,7,15,12,2,6,21,26,16,18,24,23,14,4,25,8,13,28,3,0,30764
0,4,15,10,22,21,30,6,27,29,24,25,1,18,11,28,14,17,16,8,2,12,20,7,5,3,9,19,23,31,13,0,30536
0,1,29,31,16,24,4,7,30,6,5,17,14,19,27,25,20,13,3,11,15,10,26,28,23,9,21,22,2,18,8,0,34631
0,27,26,17,18,6,11,5,20,15,1,28,9,10,3,8,29,16,21,14,19,2,31,13,22,25,30,7,23,12,4,0,34230
0,8,19,1,31,30,17,5,4,24,25,28,14,12,2,13,15,3,10,16,20,7,6,23,11,29,26,21,22,18,9,0,29185
0,28,4,19,1,6,20,24,12,14,30,3,31,18,11,25,10,5,15,29,8,9,7,2,17,23,22,13,21,27,26,0,35572
0,21,7,9,30,25,17,29,6,28,27,15,16,13,23,26,31,3,22,10,18,24,2,20,14,11,12,1,5,4,8,0,35575
0,27,5,24,4,21,25,28,17,10,31,23,12,22,29,3,9,13,30,8,14,15,6,11,19,18,26,1,7,20,16,0,32173
0,2,31,15,16,8,6,22,12,21,28,9,5,27,4,10,7,3,24,23,20,1,26,29,30,18,25,14,11,13,17,0,29483
0,30,9,23,22,26,10,24,19,2,25,31,4,21,3,15,17,5,11,14,8,12,13,20,16,18,27,28,7,6,29,0,33389
0,4,1,25,2,11,21,5,17,23,27,16,30,19,8,10,22,29,9,13,12,3,14,20,31,28,7,18,26,6,24,0,30057
0,21,20,17,3,11,10,23,4,12,28,7,30,18,13,25,15,9,5,19,24,2,26,16,8,6,27,14,31,29,22,0,34273
0,31,4,12,18,20,27,19,28,25,29,17,26,3,30,23,1,24,2,10,15,5,11,7,6,9,13,16,8,21,22,0,38730
0,11,27,12,13,6,14,30,4,24,9,17,26,29,16,23,25,15,28,3,7,22,5,31,18,1,8,10,21,2,19,0,30433
0,27,17,1,8,31,26,13,16,10,28,25,29,23,2,21,4,11,20,12,24,18,5,30,3,22,7,19,14,15,6,0,35613
0,13,4,24,12,25,30,1,28,26,21,3,19,7,31,29,23,8,6,22,15,27,2,17,11,18,5,20,16,14,10,0,35828
